Time,DI1,DI2,DI3,DI4,DI5,DI6,I1L_valid,V1 [10nV],I1L [10pA],I1H [nA],V1,I1L,I1H
,1,0,1,1,1,0,1,133147,-96366,-501219,0.00133147,-9.6366E-07,-0.000501219
,1,0,1,1,1,0,1,134492,-98505,-500615,0.00134492,-9.8505E-07,-0.000500615
,1,0,1,1,1,0,1,133881,-97225,-502618,0.00133881,-9.7225E-07,-0.000502618
,1,0,1,1,1,0,1,132658,-94981,-500075,0.00132658,-9.4981E-07,-0.000500075
,1,0,1,1,1,0,1,133636,-99907,-500456,0.00133636,-9.9907E-07,-0.000500456
,1,0,1,1,1,0,1,133392,-92580,-499979,0.00133392,-9.258E-07,-0.000499979
,1,0,1,1,1,0,1,133025,-90546,-500297,0.00133025,-9.0546E-07,-0.000500297
,1,0,1,1,1,0,1,133514,-93912,-499248,0.00133514,-9.3912E-07,-0.000499248
,1,0,1,1,1,0,1,132536,-96296,-499725,0.00132536,-9.6296E-07,-0.000499725
,1,0,1,1,1,0,1,132536,-91808,-499025,0.00132536,-9.1808E-07,-0.000499025
,1,0,1,1,1,0,1,133514,-87724,-500392,0.00133514,-8.7724E-07,-0.000500392
,1,0,1,1,1,0,1,133881,-94894,-500996,0.00133881,-9.4894E-07,-0.000500996
,1,0,1,1,1,0,1,133758,-100872,-501060,0.00133758,-1.00872E-06,-0.00050106
,1,0,1,1,1,0,1,132780,-103186,-499312,0.0013278,-1.03186E-06,-0.000499312
,1,0,1,1,1,0,1,132903,-103939,-500679,0.00132903,-1.03939E-06,-0.000500679
,1,0,1,1,1,0,1,133392,-101064,-500424,0.00133392,-1.01064E-06,-0.000500424
,1,0,1,1,1,0,1,133514,-92054,-501728,0.00133514,-9.2054E-07,-0.000501728
,1,0,1,1,1,0,1,133636,-92983,-499248,0.00133636,-9.2983E-07,-0.000499248
,1,0,1,1,1,0,1,132536,-96717,-500361,0.00132536,-9.6717E-07,-0.000500361
,1,0,1,1,1,0,1,132536,-98873,-499184,0.00132536,-9.8873E-07,-0.000499184
,1,0,1,1,1,0,1,132658,-100346,-499947,0.00132658,-1.00346E-06,-0.000499947
,1,0,1,1,1,0,1,133147,-97313,-500774,0.00133147,-9.7313E-07,-0.000500774
,1,0,1,1,1,0,1,133514,-95139,-501251,0.00133514,-9.5139E-07,-0.000501251
,1,0,1,1,1,0,1,133269,-98014,-498263,0.00133269,-9.8014E-07,-0.000498263
,1,0,1,1,1,0,1,132536,-94438,-499502,0.00132536,-9.4438E-07,-0.000499502
,1,0,1,1,1,0,1,133514,-94596,-499216,0.00133514,-9.4596E-07,-0.000499216
,1,0,1,1,1,0,1,133392,-94806,-499312,0.00133392,-9.4806E-07,-0.000499312
,1,0,1,1,1,0,1,132780,-95542,-498263,0.0013278,-9.5542E-07,-0.000498263
,1,0,1,1,1,0,1,132780,-96559,-498485,0.0013278,-9.6559E-07,-0.000498485
,1,0,1,1,1,0,1,132536,-93070,-496768,0.00132536,-9.307E-07,-0.000496768
,1,0,1,1,1,0,1,133147,-88933,-498517,0.00133147,-8.8933E-07,-0.000498517
,1,0,1,1,1,0,1,133025,-90318,-499947,0.00133025,-9.0318E-07,-0.000499947
,1,0,1,1,1,0,1,133514,-97015,-500456,0.00133514,-9.7015E-07,-0.000500456
,1,0,1,1,1,0,1,132414,-99101,-500456,0.00132414,-9.9101E-07,-0.000500456
,1,0,1,1,1,0,1,132658,-99785,-499502,0.00132658,-9.9785E-07,-0.000499502
,1,0,1,1,1,0,1,133269,-100854,-497722,0.00133269,-1.00854E-06,-0.000497722
,1,0,1,1,1,0,1,133392,-98698,-497722,0.00133392,-9.8698E-07,-0.000497722
,1,0,1,1,1,0,1,134003,-96647,-500488,0.00134003,-9.6647E-07,-0.000500488
,1,0,1,1,1,0,1,133514,-95893,-498708,0.00133514,-9.5893E-07,-0.000498708
,1,0,1,1,1,0,1,132536,-97348,-496832,0.00132536,-9.7348E-07,-0.000496832
,1,0,1,1,1,0,1,133147,-97401,-495719,0.00133147,-9.7401E-07,-0.000495719
,1,0,1,1,1,0,1,132536,-99872,-497531,0.00132536,-9.9872E-07,-0.000497531
,1,0,1,1,1,0,1,132903,-98733,-499566,0.00132903,-9.8733E-07,-0.000499566
,1,0,1,1,1,0,1,133758,-97260,-498771,0.00133758,-9.726E-07,-0.000498771
,1,0,1,1,1,0,1,133514,-97576,-500392,0.00133514,-9.7576E-07,-0.000500392
,1,0,1,1,1,0,1,132903,-94788,-499375,0.00132903,-9.4788E-07,-0.000499375
,1,0,1,1,1,0,1,133636,-92106,-498167,0.00133636,-9.2106E-07,-0.000498167
,1,0,1,1,1,0,1,132047,-91948,-497531,0.00132047,-9.1948E-07,-0.000497531
,1,0,1,1,1,0,1,132780,-90686,-496037,0.0013278,-9.0686E-07,-0.000496037
,1,0,1,1,1,0,1,133392,-89424,-495243,0.00133392,-8.9424E-07,-0.000495243
,1,0,1,1,1,0,1,134859,-94736,-497404,0.00134859,-9.4736E-07,-0.000497404
